Account	Account name	Campaign	Labels	Campaign Type	Networks	Budget	Budget type	EU political ads	Standard conversion goals	Custom conversion goal	Customer acquisition	Languages	Bid Strategy Type	Bid Strategy Name	Enhanced CPC	Maximum CPC bid limit	Start Date	End Date	Broad match keywords	Ad Schedule	Ad rotation	Content exclusions	Targeting method	Exclusion method	Audience targeting	Flexible Reach	AI Max	Text customization	Final URL expansion	Ad Group	Max CPC	Max CPM	Target CPA	Max CPV	Target CPV	Percent CPC	Target CPM	Target ROAS	Target CPC	Desktop Bid Modifier	Mobile Bid Modifier	Tablet Bid Modifier	TV Screen Bid Modifier	Display Network Custom Bid Type	Optimized targeting	Strict age and gender targeting	Search term matching	Ad Group Type	Channels	Audience name	Age demographic	Gender demographic	Income demographic	Parental status demographic	Remarketing audience segments	Interest categories	Life events	Custom audience segments	Detailed demographics	Remarketing audience exclusions	Tracking template	Final URL suffix	Custom parameters	ID	Location	Reach	Location groups	Radius	Unit	Bid Modifier	Account keyword type	Keyword	Criterion Type	First page bid	Top of page bid	First position bid	Quality score	Landing page experience	Expected CTR	Ad relevance	Final URL	Final mobile URL	Ad type	Headline 1	Headline 1 position	Headline 2	Headline 2 position	Headline 3	Headline 3 position	Headline 4	Headline 4 position	Headline 5	Headline 5 position	Headline 6	Headline 6 position	Headline 7	Headline 7 position	Headline 8	Headline 8 position	Headline 9	Headline 9 position	Headline 10	Headline 10 position	Headline 11	Headline 11 position	Headline 12	Headline 12 position	Headline 13	Headline 13 position	Headline 14	Headline 14 position	Headline 15	Headline 15 position	Description 1	Description 1 position	Description 2	Description 2 position	Description 3	Description 3 position	Description 4	Description 4 position	Path 1	Path 2	Shared set name	Shared set type	Keyword count	Link Text	Description Line 1	Description Line 2	Upgraded extension	Source	Link source	Callout text	Campaign Status	Ad Group Status	Status	Approval Status	Ad strength	Comment
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																												AG02 | Bep an cong nghiep																																																			https://thucphamsomot.vn/bao-gia		Responsive search ad	Nguồn Thực Phẩm Cho Bếp Ăn	 -	Cung Ứng Bếp Ăn Công Nghiệp	 -	Báo Giá Theo Quy Mô Suất Ăn	 -	Giao Theo Lịch Bếp	 -	"Rau Củ, Thịt Cá, Đông Lạnh"	 -	Nguồn Hàng Cho Nhà Máy	 -	Thực Phẩm B2B Đồng Nai	 -	TPS1 Thực Phẩm Số Một	 -	Báo Giá Theo Nhu Cầu	 -	Cung Ứng Thực Phẩm B2B	 -											"Gửi nhu cầu thực tế để nhận phương án nguồn hàng, lịch giao và báo giá phù hợp."	 -	"Phù hợp bếp ăn tập thể, nhà máy, trường học và đơn vị suất ăn."	 -	Ưu tiên khách có nhu cầu cung ứng thực phẩm theo lịch định kỳ.	 -			bao-gia	bep-an											Enabled	Enabled	Enabled	Approved	Poor	
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																																																														9266762	"Tam Phước, Đồng Nai, Việt Nam"	78000																																																																				Enabled		Enabled			
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																																																														9245752	"Tân Hải, Hồ Chí Minh, Việt Nam"	22000																																																																				Enabled		Enabled			
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																																																															(40km:10.949186:106.859139)			40.0	km																																																																	Enabled		Enabled			
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																																																														9234987	"Hố Nai, Đồng Nai, Việt Nam"	52000																																																																				Enabled		Enabled			
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																																																														9266749	"Châu Pha, Hồ Chí Minh, Việt Nam"	14000																																																																				Enabled		Enabled			
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																																																														9266728	"Hưng Thịnh, Đồng Nai, Việt Nam"	10000																																																																				Enabled		Enabled			
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																																																														9266726	"Phước Tân, Đồng Nai, Việt Nam"	90000																																																																				Enabled		Enabled			
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																																																														9266729	"Trảng Bom, Đồng Nai, Việt Nam"	41000																																																																				Enabled		Enabled			
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																																																														9255488	"Trảng Dài, Đồng Nai, Việt Nam"	107000																																																																				Enabled		Enabled			
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																																																														9266754	"Phú Mỹ, Hồ Chí Minh, Việt Nam"	67000																																																																				Enabled		Enabled			
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																																																														9266761	"Long Thành, Đồng Nai, Việt Nam"	68000																																																																				Enabled		Enabled			
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																																																														9217804	"Long Bình, Đồng Nai, Việt Nam"	136000																																																																				Enabled		Enabled			
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D																																																																																																																										tps1	Shared negative keyword list	29								Enabled		Enabled			
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D															[]	[]		[]																																																													https://thucphamsomot.vn/san-pham																																														Sản Phẩm			[]	Advertiser	Advertiser		Enabled		Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D															[]	[]		[]																																																													https://thucphamsomot.vn/bao-gia																																														Báo Giá Theo Nhu Cầu			[]	Advertiser	Advertiser		Enabled		Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D															[]	[]		[]																																																													https://thucphamsomot.vn/ho-so-nang-luc																																														Hồ Sơ Năng Lực			[]	Advertiser	Advertiser		Enabled		Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D															[]	[]		[]																																																													https://thucphamsomot.vn/lien-hehttps://thucphamsomot.vn/nganh-hanga																																														Ngành Hàng			[]	Advertiser	Advertiser		Enabled		Enabled	Disapproved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D															[]	[]		[]																																																													https://thucphamsomot.vn/lien-he																																														Liên Hệ			[]	Advertiser	Advertiser		Enabled		Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D															[]	[]		[]																																																													https://thucphamsomot.vn/bao-gia																																														Báo Giá Theo Nhu Cầu	Gửi nhu cầu để nhận báo giá	Theo nhóm hàng và quy mô	[]	Advertiser	Advertiser		Enabled		Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D															[]	[]		[]																																																													https://thucphamsomot.vn/bao-gia																																														Nhận Báo Giá			[]	Advertiser	Advertiser		Enabled		Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D															[]	[]		[]																																																													https://thucphamsomot.vn/san-pham																																														Sản Phẩm			[]	Advertiser	Advertiser		Enabled		Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D															[]	[]		[]																																																													https://thucphamsomot.vn/tin-tuc																																														Tin Tức			[]	Advertiser	Advertiser		Enabled		Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D															[]	[]		[]																																																													https://zalo.me/s/3486082144280639442/																																														Zalo Shop			[]	Advertiser	Advertiser		Enabled		Enabled	Disapproved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D															[]	[]		[]																																																													https://thucphamsomot.vn/gioi-thieu																																														Giới Thiệu TPS1	Đối tác cung ứng thực phẩm B2B	Phục vụ nhu cầu bếp vận hành	[]	Advertiser	Advertiser		Enabled		Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D															[]	[]		[]																																																																																																														[]	Advertiser	Advertiser	Phục Vụ Khách Hàng B2B	Enabled		Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D															[]	[]		[]																																																																																																														[]	Advertiser	Advertiser	Hỗ Trợ Báo Giá Nhanh	Enabled		Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D															[]	[]		[]																																																																																																														[]	Advertiser	Advertiser	Cung Ứng Theo Nhu Cầu	Enabled		Enabled	Approved		
204-761-6062	Thực Phẩm Số Một	TPS1 | Search | Core B2B | Dong Nai | 30D															[]	[]		[]																																																																																																														[]	Advertiser	Advertiser	Nhận Đơn Theo Ngày Tuần	Enabled		Enabled	Approved		
